Time,KillerX,KillerY,KillerZ,VictimX,VictimY,VictimZ
1451434477,14.856962,2756.492919,-104.792762,-230.825653,2557.867431,-79.968750
1451434479,-214.047805,2533.660400,-79.968750,304.701843,1838.269897,64.031250
1451434488,125.001930,2674.584716,-127.968750,534.285766,2636.876220,-114.250068
1451434493,106.792884,2449.772216,-127.968750,-163.103912,2331.603027,-60.001953
1451434494,1369.694458,2149.220947,-127.968750,1374.098510,2600.978515,-114.236946
1451434503,-88.559204,2380.558105,-119.685462,-4.969574,2759.620605,-127.968750
1451434513,898.355712,3484.233886,128.031250,931.335327,3288.805908,128.031250
1451434518,866.945983,3590.396240,128.031250,1063.524169,3341.622558,128.031250
1451434528,588.665100,2893.586914,64.031250,588.665100,2893.586914,64.031250
1451434534,1661.018066,2421.473876,128.031250,1671.998657,2785.967529,128.031250
1451434543,1366.415283,3343.357421,128.031250,1688.550659,3433.563476,172.014770
1451434544,1373.943237,2439.493164,-127.968750,1593.813232,1840.031250,-127.968750
1451434552,1775.275756,3306.542236,128.031250,1524.173461,3320.968750,128.031250
1451434556,1373.231201,3392.461425,128.031250,1807.728393,3087.823974,128.031250
1451434570,1558.725585,2486.831542,128.031250,1695.140991,2185.320556,128.031250
1451434574,844.072265,3713.357910,179.454788,844.072265,3713.357910,179.454788
1451434591,516.158630,2574.233642,-127.968750,811.797668,2473.395507,-127.968750
1451434595,697.087951,1987.719116,-121.715171,950.822204,1599.473754,-135.968750
1451434602,692.385559,3777.756835,128.031250,834.140686,3756.346435,128.031250
1451434610,549.460876,2559.852050,-127.968750,399.229675,2560.565429,-127.968750
1451434616,623.532897,2972.356689,79.580688,763.517395,2958.329101,100.353317
1451434631,734.210571,4119.499511,172.404312,449.475189,4052.597656,173.266540
1451434631,734.210571,4119.499511,172.404312,536.153442,4295.998046,128.031250
1451434636,449.475189,4052.597656,187.266540,316.729736,3551.772216,-84.680145
1451434646,1336.582519,1533.240722,-135.968750,1049.372680,1591.414062,-135.968750
1451434659,664.369873,2956.376220,-127.968750,700.334533,2983.968750,-127.968750
1451434661,743.967834,2701.927734,-127.968750,597.961975,2424.031250,-123.039718
1451434683,2144.862792,-7.787382,64.031250,2063.578369,-174.016601,64.031250
1451434685,1499.953491,-188.708786,64.031250,1562.109252,63.814655,98.290367
1451434712,1652.747436,1038.390625,87.165718,1900.739990,1281.432128,64.031250
1451434720,539.824707,848.915649,64.031250,536.291137,946.580627,64.031250
1451434722,609.546142,1164.211547,64.031250,650.834716,985.195617,103.031250
1451434762,685.750000,2791.968750,-127.968750,799.724914,2195.658203,-127.968750
1451434777,181.504714,3243.212890,-127.968750,119.419799,2986.719970,-127.968750
1451434795,1495.950317,2143.327880,-127.968750,1564.801635,1828.845825,-121.071258
1451434816,712.457641,2910.885009,-124.033828,712.457641,2910.885009,-124.033828
1451434839,745.987854,2796.790039,-127.968750,916.604492,2974.940673,-105.162284
1451434839,913.753234,2974.489013,-75.662773,741.231811,2870.310546,-127.968750
1451434851,1383.720092,2022.900512,-127.968750,1562.560913,1938.148681,-127.968750
1451434854,1414.064575,1749.186523,-113.223892,1266.491210,1736.429321,-127.968750
1451434873,33.066905,2999.968750,-104.030494,-471.352081,3374.218994,-127.968750
1451434877,282.925231,2756.587158,-127.968750,-359.973937,3644.865478,-127.968750
1451434895,340.300201,2586.416015,-127.968750,-367.113281,2450.857910,-79.968750
1451434906,1243.579101,2528.921386,-127.968750,1578.874389,2342.878906,-127.968750
1451434913,743.735900,2206.136474,-127.968750,898.636413,1740.381713,-127.968750
1451434925,1272.092041,1851.253662,128.031250,1111.303466,2000.989135,128.031250
1451434941,1940.923706,2175.750244,128.031250,2095.881591,2584.078125,-127.968750
1451434957,710.566589,4123.355468,128.031250,148.683959,4226.980468,128.031250
1451434974,860.849060,3428.086425,128.031250,707.498168,3370.789794,128.031250
1451434991,1667.552734,3289.232910,128.031250,1806.417724,3370.384765,128.031250
